Área;Casos desnutrición aguda (moderada severa);Proporción desnutrición aguda (moderada severa);Casos Retraso en talla;Proporción Retraso en talla;Casos desnutrición global;Proporción desnutrición global;Casos Exceso de peso;Proporción exceso de peso;Total población ;Año
Distrito;5468;4,1;17208;12,9;8852;6,7;5313;4;133056;2016
Usaquén;173;2,8;794;12,9;378;6,1;247;4;6164;2017
Chapinero;110;3,7;363;12,3;187;6,3;115;3,9;2951;2017
Santa Fe;149;4,9;465;15,3;232;7,6;95;3,1;3048;2017
San Cristóbal;408;4,3;1727;18,3;805;8,6;383;4,1;9415;2017
Usme;459;4,7;1491;15,3;670;6,9;407;4,2;9726;2017
Tunjuelito;245;3,9;929;14,9;425;6,8;264;4,2;6223;2017
Bosa;578;4,4;1538;11,6;792;6;454;3,4;13211;2017
Kennedy;514;3,9;1470;11,3;772;5,9;479;3,7;13046;2017
Fontibón;153;2,9;507;9,7;255;4,9;211;4,1;5201;2017
Engativá;339;2,7;1338;10,8;641;5,2;506;4,1;12441;2017
Suba;397;3,8;1148;10,9;589;5,6;359;3,4;10545;2017
Barrios Unidos;65;4;165;10,2;87;5,4;74;4,6;1619;2017
Teusaquillo;62;3,6;165;9,6;86;5;58;3,4;1724;2017
Los Mártires;71;4,2;234;13,9;112;6,7;54;3,2;1681;2017
Antonio Nariño;60;4,7;160;12,5;94;7,4;36;2,8;1277;2017
Puente Aranda;118;3,7;298;9,4;156;4,9;131;4,1;3185;2017
Candelaria;42;4,5;119;12,8;49;5,3;43;4,6;929;2017
Rafael Uribe Uribe;240;4,1;904;15,3;460;7,8;198;3,4;5894;2017
Ciudad Bolívar;441;4,8;1325;14,4;604;6,6;372;4,1;9178;2017
Sumapaz;23;4,6;106;21,2;38;7,6;24;4,8;499;2017
Distrito;4724;3,9;15438;12,9;7554;6,3;4588;3,8;119808;2017
Usaquén;247;2,7;1164;12,6;569;6,1;348;3,8;9264;2018
Chapinero;91;2,9;425;13,4;201;6,3;115;3,6;3171;2018
Santa Fe;138;3,4;624;15,2;281;6,9;157;3,8;4098;2018
San Cristóbal;462;4;2050;17,6;951;8,1;476;4,1;11675;2018
Usme;413;3,5;1935;16,2;899;7,5;529;4,4;11941;2018
Tunjuelito;264;3,7;1123;15,6;541;7,5;315;4,4;7213;2018
Bosa;637;3,5;2358;12,9;1128;6,2;685;3,7;18335;2018
Kennedy;835;3,5;2711;11,3;1403;5,9;933;3,9;23936;2018
Fontibón;193;2,8;964;13,9;512;7,4;275;4;6912;2018
Engativá;402;2,5;1736;10,8;823;5,1;656;4,1;16086;2018
Suba;395;2,5;1808;11,3;874;5,5;578;3,6;15937;2018
